business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to tree nut farming.,32111.34,CropGen,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to all other grain farming.,43133.43,EcoFarms,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to beef cattle ranching and farming.,28437.62,FreshFields,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to peanut farming.,30868.67,FreshFields,Procured for peanut farming operations.,Peanut Farming
Activities related to strawberry farming.,43777.07,EcoFarms,Procured for strawberry farming operations.,Strawberry Farming
Activities related to goat farming.,2275.08,EcoFarms,Procured for goat farming operations.,Goat Farming
Activities related to hog and pig farming.,20593.63,BioHarvest,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to wheat farming.,37505.06,FreshFields,Procured for wheat farming operations.,Wheat Farming
Activities related to rice farming.,25937.41,AgriCorp,Procured for rice farming operations.,Rice Farming
Activities related to other poultry production.,2785.81,AgriCorp,Procured for other poultry production operations.,Other Poultry Production
Activities related to chicken egg production.,13837.27,FreshFields,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to all other miscellaneous crop farming.,13197.25,FreshFields,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to peanut farming.,27016.39,AgriCorp,Procured for peanut farming operations.,Peanut Farming
Activities related to tobacco farming.,41189.43,AgriCorp,Procured for tobacco farming operations.,Tobacco Farming
Activities related to sugar beet farming.,8701.83,FreshFields,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to apple orchards.,20134.64,FreshFields,Procured for apple orchards operations.,Apple Orchards
Activities related to cotton farming.,19328.26,FreshFields,Procured for cotton farming operations.,Cotton Farming
Activities related to other poultry production.,25614.52,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to other aquaculture.,36523.72,CropGen,Procured for other aquaculture operations.,Other Aquaculture
Activities related to finfish farming and fish hatcheries.,19752.84,EcoFarms,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to oilseed and grain combination farming.,38576.24,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to oilseed (except soybean) farming.,27775.3,EcoFarms,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to fur-bearing animal and rabbit production.,45330.0,CropGen,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to all other animal production.,22704.19,EcoFarms,Procured for all other animal production operations.,All Other Animal Production
Activities related to sugar beet farming.,4087.89,AgriCorp,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to fur-bearing animal and rabbit production.,40805.94,CropGen,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to floriculture production.,40188.91,CropGen,Procured for floriculture production operations.,Floriculture Production
Activities related to finfish farming and fish hatcheries.,48050.59,BioHarvest,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to peanut farming.,19771.26,AgriCorp,Procured for peanut farming operations.,Peanut Farming
Activities related to hog and pig farming.,31680.02,AgriCorp,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to other food crops grown under cover.,12992.29,FreshFields,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to all other animal production.,49243.69,EcoFarms,Procured for all other animal production operations.,All Other Animal Production
Activities related to goat farming.,48907.18,AgriCorp,Procured for goat farming operations.,Goat Farming
Activities related to apiculture.,13426.57,CropGen,Procured for apiculture operations.,Apiculture
Activities related to turkey production.,28287.59,FreshFields,Procured for turkey production operations.,Turkey Production
Activities related to berry (except strawberry) farming.,45287.97,EcoFarms,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to soybean farming.,38963.07,FreshFields,Procured for soybean farming operations.,Soybean Farming
Activities related to oilseed and grain combination farming.,36307.26,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to fruit and tree nut combination farming.,45953.43,AgriCorp,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to grape vineyards.,9202.61,FreshFields,Procured for grape vineyards operations.,Grape Vineyards
Activities related to turkey production.,11417.93,AgriCorp,Procured for turkey production operations.,Turkey Production
Activities related to horses and other equine production.,10497.57,BioHarvest,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to chicken egg production.,8432.87,AgriCorp,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to dual-purpose cattle ranching and farming.,44022.03,AgriCorp,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to horses and other equine production.,31670.2,BioHarvest,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to peanut farming.,24481.56,EcoFarms,Procured for peanut farming operations.,Peanut Farming
Activities related to turkey production.,25652.93,AgriCorp,Procured for turkey production operations.,Turkey Production
Activities related to other aquaculture.,10676.15,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to nursery and tree production.,44674.88,FreshFields,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to chicken egg production.,23613.85,EcoFarms,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to corn farming.,3074.37,EcoFarms,Procured for corn farming operations.,Corn Farming
Activities related to cattle feedlots.,9254.35,FreshFields,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to all other animal production.,42530.4,AgriCorp,Procured for all other animal production operations.,All Other Animal Production
Activities related to other noncitrus fruit farming.,28201.02,AgriCorp,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to strawberry farming.,1296.03,FreshFields,Procured for strawberry farming operations.,Strawberry Farming
Activities related to wheat farming.,23290.12,EcoFarms,Procured for wheat farming operations.,Wheat Farming
Activities related to oilseed and grain combination farming.,31229.99,EcoFarms,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to other food crops grown under cover.,38505.88,BioHarvest,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to other poultry production.,3355.39,CropGen,Procured for other poultry production operations.,Other Poultry Production
